1358442177116, 2013-01-17, 18:02:57:116, [wp_site:SCM Lab; wp_post:1; user:krejcar.zbynek], 95.91.115.12, seek_start: 26.518627166748047   26.26, Mozilla/5.0 (Windows NT 6.2, WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358442177253, 2013-01-17, 18:02:57:253, [wp_site:SCM Lab; wp_post:1; user:krejcar.zbynek], 95.91.115.12, videos/0_grundlagen.webm seek_end: 212.01, Mozilla/5.0 (Windows NT 6.2, WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358442361499, 2013-01-17, 18:06:01:499, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 90.186.167.122, seek_start: 13.45272159576416   13.29, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358442361905, 2013-01-17, 18:06:01:905, [wp_site:SCM Lab; wp_post:1; user:tylsova.karolina], 90.186.167.122, videos/5_netzwerktheorie_travellingSalesperson.webm seek_end: 0, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358442411243, 2013-01-17, 18:06:51:243, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 104.034376   103.8, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442411346, 2013-01-17, 18:06:51:346, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 3461.21, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442413561, 2013-01-17, 18:06:53:561, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 106.3   106.3, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442413653, 2013-01-17, 18:06:53:653, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 970.71, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442497221, 2013-01-17, 18:08:17:221, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 1051.501723   1051.33, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442497399, 2013-01-17, 18:08:17:399, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 1461   1460.96, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442497345, 2013-01-17, 18:08:17:345, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 1460.96, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442497516, 2013-01-17, 18:08:17:516, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 1460.96, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442588488, 2013-01-17, 18:09:48:488, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 1550.333083   1550.13, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442588596, 2013-01-17, 18:09:48:596, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 1941.41, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442637604, 2013-01-17, 18:10:37:604, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 1987.368095   1987.24, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442637783, 2013-01-17, 18:10:37:783, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 2235.57, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442713694, 2013-01-17, 18:11:53:694, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 2309.567006   2309.53, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442713804, 2013-01-17, 18:11:53:804, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 2642.48, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442839802, 2013-01-17, 18:13:59:802, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 2766.633197   2766.6, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442839877, 2013-01-17, 18:13:59:877, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 3333.74, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442857325, 2013-01-17, 18:14:17:325, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 3348.131882   3348, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442857417, 2013-01-17, 18:14:17:417, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 3466.11, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442902881, 2013-01-17, 18:15:02:881, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, [open_popcorn], Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358442996416, 2013-01-17, 18:16:36:416, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, seek_start: 39.767052   39.57, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358442996571, 2013-01-17, 18:16:36:571, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, videos/8_scm_logistik.webm seek_end: 2193.9, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443010432, 2013-01-17, 18:16:50:432, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, seek_start: 2207.436213   2207.37, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443010595, 2013-01-17, 18:16:50:595, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, videos/8_scm_logistik.webm seek_end: 2845.94, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443012519, 2013-01-17, 18:16:52:519, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, seek_start: 2847.467029   2847.37, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443012686, 2013-01-17, 18:16:52:686, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, videos/8_scm_logistik.webm seek_end: 3306.78, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443026962, 2013-01-17, 18:17:06:962, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, seek_start: 3320.704693   3320.64, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443027117, 2013-01-17, 18:17:07:117, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, videos/8_scm_logistik.webm seek_end: 3483.27, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443033777, 2013-01-17, 18:17:13:777, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, seek_start: 3490.200181   3490.17, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443033938, 2013-01-17, 18:17:13:938, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, videos/8_scm_logistik.webm seek_end: 3537.2, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443044716, 2013-01-17, 18:17:24:716, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, seek_start: 3548.374739   3548.17, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443044883, 2013-01-17, 18:17:24:883, [wp_site:SCM Lab; wp_post:1; user:svobodova.eva], 95.91.112.23, videos/8_scm_logistik.webm seek_end: 1193.77, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443118435, 2013-01-17, 18:18:38:435, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 3.7746810913085938   3.69, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443120005, 2013-01-17, 18:18:40:5, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2319.48, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443121676, 2013-01-17, 18:18:41:676, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 7.014864921569824   6.96, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443121807, 2013-01-17, 18:18:41:807, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2523.94, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443122825, 2013-01-17, 18:18:42:825, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 8.162253379821777   7.96, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443124717, 2013-01-17, 18:18:44:717, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2566.24, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443126979, 2013-01-17, 18:18:46:979, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 12.324234962463379   12.22, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443127106, 2013-01-17, 18:18:47:106, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2545.09, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443150098, 2013-01-17, 18:19:10:98, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 35.439701080322266   35.27, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443150229, 2013-01-17, 18:19:10:229, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2559.19, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443151005, 2013-01-17, 18:19:11:5, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 36.350669860839844   36.27, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443152757, 2013-01-17, 18:19:12:757, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2555.66, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443154493, 2013-01-17, 18:19:14:493, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 39.83327102661133   39.77, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443154621, 2013-01-17, 18:19:14:621, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 1533.4, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443163323, 2013-01-17, 18:19:23:323, [wp_site:SCM Lab; wp_post:1; user:roztocilova.tereza], 95.91.112.23, seek_start: 50.660634   50.47, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443163536, 2013-01-17, 18:19:23:536, [wp_site:SCM Lab; wp_post:1; user:roztocilova.tereza], 95.91.112.23, videos/7_scm_jit.webm seek_end: 145.47, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443167082, 2013-01-17, 18:19:27:82, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 52.427486419677734   52.29, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
