browser,context,dataset,size,querytime,pageload,d3,pagesum
chromium,access,LogExt2,9052,686.04,1118.65,59.13,1177.78
chromium,watching-total-peaks,LogExt2,54342,438.54,2741.80,4125.90,6867.70
chromium,group-comparison,LogExt2,38042,637.75,656.82,30.14,686.96
chromium,interaction-forwardbackward,LogExt2,303106,189.04,253.67,413.61,667.28
chromium,interaction-forwardbackward,LogExt2,244210,162.00,2411.27,298.35,2709.62
chromium,interaction-forwardbackward,LogExt2,529546,195.77,3855.87,648.36,4504.23
chromium,interaction-forwardbackward,LogExt2,341714,173.31,5472.01,419.11,5891.12
chromium,interaction-forwardbackward,LogExt2,1210482,253.40,6988.63,1330.40,8319.02
chromium,interaction-forwardbackward,LogExt2,167968,156.28,9477.96,195.08,9673.04
chromium,interaction-forwardbackward,LogExt2,1210482,247.30,10939.33,1311.38,12250.71
chromium,interaction-forwardbackward,LogExt2,167968,160.52,24154.54,197.80,24352.34
chromium,interaction-forwardbackward,LogExt2,68,134.24,25629.21,0.01,25629.22
chromium,interaction-forwardbackward,LogExt2,907062,248.33,28002.14,942.99,28945.13
chromium,interaction-forwardbackward,LogExt2,490740,192.27,31388.35,569.20,31957.55
chromium,interaction-forwardbackward,LogExt2,387142,180.42,32872.92,442.08,33314.99
chromium,interaction-forwardbackward,LogExt2,839054,241.21,34128.43,906.14,35034.57
chromium,interaction-forwardbackward,LogExt2,387142,171.11,37085.13,435.72,37520.85
chromium,interaction-forwardbackward,LogExt2,839054,215.71,41163.97,878.86,42042.83
chromium,interaction-forwardbackward,LogExt2,335118,177.07,45451.72,364.56,45816.28
chromium,interaction-forwardbackward,LogExt2,668898,201.20,47698.99,773.35,48472.34
chromium,interaction-forwardbackward,LogExt2,335118,164.23,98191.77,410.02,98601.79
chromium,interaction-forwardbackward,LogMarkov2,68,41.12,176247.87,0.01,176247.88
chromium,interaction-forwardbackward,LogMarkov2,210232,120.76,334.71,298.11,632.82
chromium,interaction-forwardbackward,LogMarkov2,41898,49.22,2238.56,73.76,2312.32
chromium,interaction-forwardbackward,LogMarkov2,12274,48.79,3805.60,28.21,3833.81
chromium,interaction-forwardbackward,LogMarkov2,358454,92.43,4895.65,399.56,5295.22
chromium,interaction-forwardbackward,LogMarkov2,399600,92.65,6624.27,473.77,7098.04
chromium,interaction-forwardbackward,LogMarkov2,305216,82.68,8865.95,345.18,9211.14
chromium,interaction-forwardbackward,LogMarkov2,399600,90.88,10041.04,458.81,10499.85
chromium,interaction-forwardbackward,LogMarkov2,41898,53.38,11196.81,67.00,11263.81
chromium,interaction-forwardbackward,LogMarkov2,210232,76.46,12597.17,261.63,12858.80
chromium,interaction-forwardbackward,LogMarkov2,144268,72.14,13568.34,181.92,13750.26
chromium,interaction-forwardbackward,LogMarkov2,12274,45.66,14676.94,25.94,14702.88
chromium,interaction-forwardbackward,LogMarkov2,358454,89.14,15653.75,405.52,16059.27
chromium,interaction-forwardbackward,LogMarkov2,683332,122.00,17010.31,749.19,17759.51
chromium,interaction-forwardbackward,LogMarkov2,305216,85.41,18413.83,354.65,18768.48
chromium,interaction-forwardbackward,LogMarkov2,399600,85.81,19454.14,448.76,19902.90
chromium,interaction-forwardbackward,LogMarkov2,420142,95.75,20959.80,468.39,21428.19
chromium,interaction-forwardbackward,LogMarkov2,369968,90.52,22781.11,400.66,23181.77
chromium,group-comparison,LogMarkov2,3130,479.68,526.41,58.64,585.06
chromium,access,LogMarkov2,3302,178.56,397.56,64.32,461.89
chromium,watching-rewatching,LogMarkov2,177452,76.32,2033.83,428.64,2462.48
chromium,watching-rewatching,LogMarkov2,177452,71.79,9740.82,321.70,10062.52
chromium,group-comparison,LogMarkov2,6270,165.78,403.02,27.55,430.57
chromium,group-comparison,LogMarkov2,6270,145.82,2751.54,19.14,2770.68
chromium,group-comparison,LogMarkov2,6270,144.16,4868.19,18.28,4886.47
chromium,group-comparison,LogMarkov2,6270,155.63,5659.56,14.86,5674.41
chromium,group-comparison,LogMarkov2,6270,148.28,6631.15,11.73,6642.88
chromium,group-comparison,LogMarkov2,6270,151.31,7434.69,9.94,7444.64
chromium,group-comparison,LogMarkov2,6270,155.04,8027.53,14.80,8042.33
chromium,group-comparison,LogMarkov2,6270,147.49,8742.86,12.35,8755.22
chromium,group-comparison,LogMarkov2,6270,210.66,231.15,35.77,266.92
chromium,group-cordtra,LogMarkov2,29918,62.02,99.61,223.48,323.09
chromium,watching-rewatching,LogMarkov2,177452,80.46,2019.38,418.93,2438.31
chromium,watching-rewatching,LogMarkov2,0,40.99,7865.85,0.02,7865.87
chromium,access,LogMarkov2,3302,169.60,253.12,63.29,316.41
chromium,group-comparison,LogMarkov2,3130,424.53,433.41,64.21,497.63
chromium,watching-rewatching,LogMarkov2,177452,71.90,1813.95,414.88,2228.82
chromium,watching-rewatching,LogMarkov2,177452,72.16,6287.57,421.27,6708.85
chromium,watching-rewatching,LogMarkov2,177452,65.17,2189.66,425.32,2614.98
chromium,watching-rewatching,LogMarkov2,177452,65.60,1838.75,420.33,2259.08
chromium,watching-total-peaks,LogMarkov2,58598,90.24,365.20,572.65,937.85
chromium,watching-total-peaks,LogMarkov2,58598,90.46,139401.69,590.39,139992.08
chromium,watching-total-peaks,LogMarkov2,58598,123.03,276.35,613.39,889.74
chromium,group-cordtra,LogMarkov2,29918,68.38,207.39,238.20,445.59
chromium,access,LogMarkov2,3302,189.22,604.62,73.53,678.15
chromium,access,LogIWRM,455350,683.32,1100.57,452.82,1553.39
chromium,group-cordtra,LogIWRM,650804,561.13,613.24,2396.47,3009.70
chromium,access,LogIWRM,455350,678.64,1043.83,451.36,1495.19
chromium,access,LogIWRM,7161850,382.36,2247.96,701.42,2949.38
chromium,access,LogIWRM,7161850,528.15,2367.46,724.79,3092.25
chromium,access,LogIWRM,7161850,673.66,2530.70,743.65,3274.35
chromium,access,LogIWRM,7161850,465.77,2163.30,9562.10,11725.40
chromium,access,LogIWRM,7161850,427.87,2142.84,883.29,3026.14
chromium,access,LogIWRM,7161850,411.81,2107.73,880.25,2987.99
chromium,access,LogIWRM,7161850,397.77,2144.57,418.88,2563.44
chromium,access,LogIWRM,7161850,417.13,2327.17,518.06,2845.23
chromium,access,LogIWRM,7161850,763.74,2577.85,452.98,3030.83
chromium,access,LogIWRM,7161850,945.09,2713.05,439.43,3152.48
chromium,access,LogIWRM,7161850,448.17,2386.07,469.52,2855.59
chromium,access,LogIWRM,7161850,572.40,2333.43,280.08,2613.51
chromium,access,LogIWRM,7161850,593.97,2330.44,935.98,3266.42
chromium,access,LogIWRM,7161850,482.74,2177.78,1219.85,3397.62
chromium,access,LogIWRM,7161850,420.91,2120.57,1045.08,3165.65
chromium,access,LogIWRM,7161850,411.60,2125.15,165830.79,167955.94
chromium,access,LogIWRM,7161850,495.08,2156.07,1875.53,4031.61
chromium,access,LogIWRM,7161850,513.32,2250.43,1524.94,3775.38
chromium,access,LogIWRM,7161850,497.94,2256.14,8332.97,10589.11
chromium,access,LogIWRM,7161850,482.70,2206.36,783.12,2989.47
chromium,group-cordtra,LogIWRM,650804,540.07,590.29,2010.89,2601.18
chromium,group-cordtra,LogIWRM,650480,714.03,976.30,1942.90,2919.20
chromium,group-comparison,LogExt2,12658,899.61,1917.82,108.91,2026.73
chromium,watching-rewatching,LogExt2,256610,206.99,2001.66,588.24,2589.90
chromium,interaction-forwardbackward,LogExt2,68,169.81,272.37,0.01,272.38
chromium,interaction-forwardbackward,LogExt2,68,165.74,475.01,0.00,475.01
chromium,interaction-forwardbackward,LogExt2,68,176.93,406.49,0.01,406.50
chromium,group-comparison,LogExt2,38042,865.10,977.96,42.13,1020.09
chromium,group-comparison,LogExt2,38042,808.19,835.75,36.20,871.95
chromium,watching-total-peaks,LogExt2,54342,493.06,2869.35,2903.20,5772.55
chromium,watching-total-peaks,LogExt2,12182,364.34,496.50,12.49,509.00
chromium,watching-total-peaks,LogExt2,49142,388.05,8729.62,1769.65,10499.27
chromium,watching-total-peaks,LogExt2,53542,364.67,18527.19,1448.75,19975.94
chromium,watching-rewatching,LogExt2,256610,224.60,3100.13,597.76,3697.89
chromium,watching-total-peaks,LogExt2,12182,287.72,351.31,12.62,363.92
chromium,watching-total-peaks,LogExt2,12002,249.54,3187.43,18.87,3206.30
chromium,watching-total-peaks,LogExt2,12002,228.65,5141.04,16.59,5157.63
chromium,watching-total-peaks,LogExt2,54342,250.64,10126.60,511.26,10637.87
chromium,watching-total-peaks,LogExt2,12182,277.13,375.49,14.92,390.40
chromium,watching-total-peaks,LogExt2,57622,232.00,6495.71,671.33,7167.04
chromium,watching-total-peaks,LogExt2,12182,302.74,396.00,13.98,409.97
chromium,watching-total-peaks,LogExt2,60742,264.05,3922.28,547.69,4469.97
chromium,watching-total-peaks,LogExt2,12182,285.31,372.87,11.72,384.59
chromium,watching-total-peaks,LogExt2,60742,288.76,4034.80,598.94,4633.73
chromium,watching-total-peaks,LogExt2,12182,290.14,348.23,14.47,362.70
chromium,watching-total-peaks,LogExt2,60742,224.52,2018.36,570.32,2588.68
chromium,watching-total-peaks,LogExt2,12182,265.88,374.16,11.10,385.25
chromium,watching-total-peaks,LogExt2,60742,287.61,4058.20,603.43,4661.63
chromium,watching-total-peaks,LogExt2,12182,319.15,404.74,15.02,419.76
chromium,watching-total-peaks,LogExt2,60742,240.99,3197.74,558.80,3756.55
chromium,watching-total-peaks,LogExt2,57622,247.65,4873.39,828.12,5701.51
chromium,watching-total-peaks,LogExt2,12182,293.51,356.67,11.32,367.99
